LocalidadOrigen,LocalidadDestino,distancia,tiempo
3,87,33505.5,3216.9
3,88,25786.8,2318.6
3,89,29338.5,2423.7
3,90,26331.0,2030.7
3,91,14272.3,1151.4
4,1,30632.8,2424.8
4,2,10083.8,924.9
4,3,26723.6,1913.7
4,5,24438.2,1677.5
4,6,33668.3,2367.3
4,7,29111.5,1991.6
4,8,19513.1,1288.5
4,9,13158.7,1266.4
4,10,20174.9,1365.0
4,11,16164.4,1050.7
4,12,10671.8,990.4
4,13,18459.2,1338.3
4,14,6734.7,502.3
4,15,16603.3,1142.5
4,16,9354.2,654.2
4,17,1575.1,203.3
4,18,5742.1,391.5
4,19,4506.8,559.4
4,20,5540.3,569.6
4,21,17168.9,1194.2
4,22,18507.3,1261.4
4,23,5406.7,711.9
4,24,10181.7,736.8
4,25,10551.5,785.3
4,26,18172.8,1392.6
4,27,8476.8,782.0
4,28,14109.0,959.6
4,29,3321.3,259.0
4,30,17974.4,1242.3
4,31,6419.1,532.0
4,32,32382.2,2300.2
4,33,9869.2,914.4
4,34,7678.7,717.4
4,35,9482.4,671.3
4,36,11760.6,955.7
4,37,6868.1,605.0
4,38,7859.4,794.1
4,39,8919.3,884.7
4,40,8313.0,643.1
4,41,13078.5,946.4
4,42,17531.7,1241.4
4,43,7142.0,712.2
4,44,12651.5,926.5
4,45,10866.8,895.6
4,46,3328.5,464.5
4,47,7056.2,669.4
4,48,24496.6,1648.0
4,49,1681.0,210.4
4,50,24011.8,1487.3
4,51,11972.2,871.1
4,52,4532.1,489.9
4,53,17429.6,1524.1
4,54,16588.9,1200.2
4,55,14230.4,976.9
4,56,5152.7,534.1
4,57,8112.9,688.5
4,58,10322.1,831.2
4,59,25516.6,1595.6
4,60,9381.5,740.4
4,61,6535.8,633.0
4,62,24230.5,1590.6
4,63,11686.4,968.5
4,64,20122.9,1463.5
4,65,6930.1,661.3
4,66,7473.9,710.3
4,67,23277.8,1510.5
4,68,19887.6,1354.0
4,69,8503.2,998.5
4,70,15938.0,1039.5
4,71,12354.1,1098.5
4,72,22826.0,1474.0
4,73,17999.8,1313.4
4,74,12657.3,856.1
4,75,19578.6,1399.8
4,76,12612.3,1080.0
4,77,7103.2,694.1
4,78,33345.7,2399.7
4,79,14347.1,1008.5
4,80,7083.0,836.1
4,81,15272.3,1136.8
4,82,19019.8,1339.6
4,83,18060.4,1254.8
4,84,16147.3,1146.7
4,85,10895.4,814.4
4,86,5799.1,450.9
4,87,21070.6,2166.5
4,88,9570.1,955.8
4,89,8401.0,721.5
4,90,13896.1,980.3
4,91,15949.7,1035.3
5,1,27870.6,2314.4
5,2,21333.1,1599.6
5,3,5117.1,573.1
5,4,23709.8,1672.0
5,6,13866.5,1230.2
5,7,9309.8,854.5
5,8,5630.7,656.9
5,9,30136.8,2573.4
5,10,12284.1,1028.5
5,11,11062.7,799.4
5,12,20614.4,1559.1
5,13,10780.8,935.2
5,14,25217.3,1747.0
5,15,11501.6,891.2
5,16,18364.8,1337.2
5,17,24675.2,1695.7
5,18,24224.7,1636.2
5,19,22302.1,1609.4
5,20,30463.9,2071.4
5,21,7504.6,609.1
5,22,12953.2,1126.3
5,23,22792.5,1723.6
5,24,19192.3,1419.8
5,25,14852.2,1086.6
5,26,27183.3,2075.6
5,27,20272.9,1549.5
5,28,23119.5,1642.6
5,29,22064.0,1540.5
5,30,12155.0,1026.5
5,31,18963.0,1310.1
5,32,12580.5,1163.1
5,33,19486.2,1475.7
5,34,30249.8,2125.8
5,35,18342.4,1341.6
5,36,15115.2,1333.6
5,37,27997.8,1950.1
5,38,20103.5,1490.6
5,39,17658.2,1445.1
5,40,16011.7,1310.0
5,41,11106.0,822.6
5,42,7544.5,637.0
5,43,31477.4,2167.2
5,44,13345.6,938.1
5,45,17752.6,1342.6
5,46,23746.3,1721.1
5,47,28185.9,2014.5
5,48,2890.1,307.4
5,49,20725.7,1686.1
5,50,13060.0,1072.2
5,51,13050.0,947.6
5,52,25233.2,1808.2
5,53,26440.2,2207.1
5,54,25599.5,1883.2
5,55,23241.0,1659.9
5,56,21008.6,1573.8
5,57,20243.4,1562.7
5,58,15555.4,1197.8
5,59,5714.8,458.5
5,60,19163.0,1434.3
5,61,27665.5,1978.1
5,62,11455.7,969.1
5,63,16156.1,1194.8
5,64,5839.2,482.1
5,65,28993.2,2055.9
5,66,29958.9,2050.9
5,67,2574.5,327.1
5,68,5862.8,686.6
5,69,24256.4,1898.2
5,70,8934.3,607.4
5,71,24974.4,2109.8
5,72,15599.4,1321.4
5,73,9524.8,776.3
5,74,21667.8,1539.1
5,75,7327.0,627.5
5,76,23628.5,1799.4
5,77,29588.1,2034.7
5,78,13543.9,1262.6
5,79,13366.9,940.9
5,80,22685.0,1756.1
5,81,24282.8,1819.8
5,82,6508.3,512.5
5,83,8073.1,650.4
5,84,25157.8,1829.7
5,85,16647.6,1256.3
5,86,19524.5,1400.6
5,87,30081.2,2849.5
5,88,23954.5,1979.5
5,89,25914.1,2056.3
5,90,22906.7,1663.3
5,91,10847.9,784.0
6,1,23940.1,2851.7
6,2,26464.5,2234.4
6,3,15303.2,1540.9
6,4,32834.2,2655.6
6,5,14032.9,1288.9
6,7,7166.4,705.9
6,8,14543.8,1356.9
6,9,39882.3,3615.7
6,10,15523.8,1519.1
6,11,19910.2,1702.8
6,12,25745.8,2193.9
6,13,21367.2,1975.0
6,14,28207.4,2478.4
6,15,20349.2,1794.6
6,16,28110.2,2379.5
6,17,33799.6,2679.3
6,18,33349.0,2619.8
6,19,32047.5,2651.7
6,20,32289.0,2802.3
6,21,18977.6,1648.5
6,22,18071.6,1761.7
6,23,32537.9,2765.9
6,24,28937.7,2462.1
6,25,24597.6,2128.9
6,26,36928.8,3117.9
6,27,25404.2,2184.3
6,28,32865.0,2684.9
6,29,30806.1,2484.7
6,30,17273.5,1661.9
6,31,29875.9,2327.4
6,32,2897.5,421.1
6,33,24617.5,2110.5
6,34,32973.7,2799.6
6,35,28087.8,2383.9
6,36,25478.2,2292.7
6,37,37743.3,2992.4
6,38,29848.9,2532.9
6,39,25544.1,2112.1
6,40,29033.1,2303.8
6,41,22479.5,1714.4
6,42,19340.5,1695.7
6,43,33396.9,2880.8
6,44,23091.1,1980.4
6,45,21732.1,1981.2
6,46,32991.2,2674.1
6,47,37931.4,3056.8
6,48,13655.9,1345.9
6,49,31595.4,2619.4
6,50,14612.2,1436.6
